20
-1,-1,-1,-1,15,-1,-1,57,-1,-1,-1,67,-1,-1,-1,23,-1,67,-1,66
-1,-1,-1,-1,-1,-1,53,-1,23,-1,-1,-1,-1,-1,54,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,63,-1,-1,-1,-1,66,84,84,-1,-1,-1,43,-1,43,-1
-1,-1,-1,-1,90,-1,-1,-1,-1,-1,37,20,-1,-1,-1,89,-1,28,-1,-1
15,-1,-1,90,-1,-1,-1,34,-1,-1,-1,21,-1,-1,-1,62,-1,80,-1,-1
-1,-1,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,-1,-1,-1,45,-1,35,-1
-1,53,-1,-1,-1,-1,-1,-1,51,58,-1,-1,-1,90,76,-1,-1,-1,-1,84
57,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,62,24,30,-1,-1,-1,-1
-1,23,-1,-1,-1,-1,51,-1,-1,75,-1,-1,-1,67,58,-1,-1,-1,-1,52
-1,-1,-1,-1,-1,-1,58,-1,75,-1,-1,-1,-1,76,-1,-1,-1,-1,-1,25
-1,-1,66,37,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,-1
67,-1,84,20,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,-1,49,-1,-1
-1,-1,84,-1,-1,39,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,85,-1,-1,-1
-1,-1,-1,-1,-1,-1,90,62,67,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,88
-1,54,-1,-1,-1,-1,76,24,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,89,62,-1,-1,30,-1,-1,-1,72,-1,-1,-1,-1,-1,21,-1,-1
-1,-1,43,-1,-1,45,-1,-1,-1,-1,-1,-1,85,-1,-1,-1,-1,-1,38,-1
67,-1,-1,28,80,-1,-1,-1,-1,-1,-1,49,-1,-1,-1,21,-1,-1,-1,-1
-1,-1,43,-1,-1,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,-1,-1,-1
66,-1,-1,-1,-1,-1,84,-1,52,25,-1,-1,-1,88,-1,-1,-1,-1,-1,-1
